artifact_family,artifact_type,artifact_subtype,application_domain,application_subdomain,venue_id,venue_display_name,venue_full_name,venue_kind,parent_venue_id,year,type,entry_kind,name,title,link,authors,code,bib_key
2D Visual Artifacts,Data Visualizations,,Professional Work,,ieee_tvcg,IEEE TVCG,IEEE Transactions on Visualization and Computer Graphics,journal,,2025,published,system,DataWink,DataWink: Reusing and Adapting SVG-based Visualization Examples with Large Multimodal Models,https://doi.org/10.1109/TVCG.2025.3634635,"Liwenhan Xie, Yanna Lin, Can Liu, Huamin Qu, Xinhuan Shu",,Data_DataWink2025
2D Visual Artifacts,Illustrative Graphics,Diagrams,,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,EvoDiagram,EvoDiagram: Agentic Editable Diagram Creation via Design Expertise Evolution,https://arxiv.org/abs/2604.09568,"Tianfu Wang, Leilei Ding, Ziyang Tao, Yi Zhan, Zhiyuan Ma, Wei Wu, Yuxuan Lei, Yuan Feng, Junyang Wang, Yin Wu, Yizhao Xu, Hongyuan Zhu, Qi Liu, Nicholas Jing Yuan, Yanyong Zhang, Hui Xiong",,Diagram_EvoDiagram2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,GenAI-DrawIO-Creator,GenAI-DrawIO-Creator: A Framework for Automated Diagram Generation,https://arxiv.org/abs/2601.05162,"Jinze Yu, Dayuan Jiang",,Diagram_GenAIDrawIOCreator2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Scientific Research,,icml,ICML,International Conference on Machine Learning,conference,,2026,published,system,PaperBanana,PaperBanana: Automating Academic Illustration for AI Scientists,https://icml.cc/virtual/2026/poster/65206,"Dawei Zhu, Rui Meng, Yale Song, Xiyu Wei, Sujian Li, Tomas Pfister, Jinsung Yoon",https://github.com/dwzhu-pku/PaperBanana,Image_PaperBanana2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Engineering Design,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,PCBSchemaGen,PCBSchemaGen: Reward-Guided LLM Code Synthesis for Printed Circuit Boards (PCB) Schematic Design with Structured Verification,https://arxiv.org/abs/2602.00510,"Huanghaohe Zou, Peng Han, Emad Nazerian, Mafu Zhang, Zhicheng Guo, Alex Q. Huang",,Hardware_PCBSchemaGen2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Engineering Design,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,SAGE,SAGE: Structured Agentic Graph Editing for Software Diagrams,https://arxiv.org/abs/2607.01102,"Tyler Sivertsen, Neal Singh, James C. Davis",,Diagram_SAGEGraphEditing2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,SciFig,SciFig: Towards Automating Editable Figure Generation for Scientific Papers,https://arxiv.org/abs/2601.04390,"Siyuan Huang, Yifan Zhou, Yutong Gao, Zi Yin, Juyang Bai, Xinxin Liu, Rama Chellappa, Chun Pong Lau, Cheng Peng, Sayan Nag, Shraman Pramanick",,Diagram_SciFig2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Scientific Research,,acl,ACL,Annual Meeting of the Association for Computational Linguistics,conference,,2026,published,benchmark,SciFlow-Bench,SciFlow-Bench: Evaluating Structure-Aware Scientific Diagram Generation via Inverse Parsing,https://aclanthology.org/2026.acl-long.807/,"Tong Zhang, Honglin Lin, Zhou Liu, Chong Chen, Wentao Zhang",,Diagram_SciFlowBench2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Scientific Research,,iclr,ICLR,International Conference on Learning Representations,conference,,2026,published,system,AutoFigure,AutoFigure: Generating and Refining Publication-Ready Scientific Illustrations,https://openreview.net/forum?id=5N3z9JQJKq,"Minjun Zhu, Zhen Lin, Yixuan Weng, Panzhong Lu, et al.",https://github.com/ResearAI/AutoFigure,Image_AutoFigure2026
2D Visual Artifacts,Illustrative Graphics,Diagrams,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,VisPainter,From Pixels to Paths: A Multi-Agent Framework for Editable Scientific Illustration,https://arxiv.org/abs/2510.27452,"Jianwen Sun, Fanrui Zhang, Yukang Feng, Chuanhao Li, Zizhen Li, Jiaxin Ai, Yifan Chang, Yu Dai, Kaipeng Zhang",,Image_PixelsToPaths2025
2D Visual Artifacts,Illustrative Graphics,Diagrams,,,cvpr,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,,2025,published,benchmark,DiagramGenBenchmark,From Words to Structured Visuals: A Benchmark and Framework for Text-to-Diagram Generation and Editing,https://openaccess.thecvf.com/content/CVPR2025/html/Wei_From_Words_to_Structured_Visuals_A_Benchmark_and_Framework_for_CVPR_2025_paper.html,"Jingxuan Wei, Cheng Tan, Qi Chen, Gaowei Wu, et al.",https://github.com/DiagramAgent/DiagramAgent_official,Diagram_Text2Diagram2024
2D Visual Artifacts,Illustrative Graphics,Diagrams,,,ijcai,IJCAI,International Joint Conference on Artificial Intelligence,conference,,2025,published,system,SketchAgent,SketchAgent: Generating Structured Diagrams from Hand-Drawn Sketches,https://doi.org/10.24963/ijcai.2025/214,"Cheng Tan, Qi Chen, Jingxuan Wei, et al.",,Diagram_SketchAgent2025
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,Agent Banana,Agent Banana: High-Fidelity Image Editing with Agentic Thinking and Tooling,https://arxiv.org/abs/2602.09084,"Ruijie Ye, Jiayi Zhang, Zhuoxin Liu, Zihao Zhu, Siyuan Yang, Li Li, Tianfu Fu, Franck Dernoncourt, Yue Zhao, Jiacheng Zhu, Ryan Rossi, Wenhao Chai, Zhengzhong Tu",https://github.com/taco-group/agent-banana,Image_AgentBanana2026
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,cvpr,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,,2026,published,system,Agentic Retoucher,Agentic Retoucher for Text-To-Image Generation,https://openaccess.thecvf.com/content/CVPR2026/html/Shen_Agentic_Retoucher_for_Text-To-Image_Generation_CVPR_2026_paper.html,"Shaocheng Shen, Jianfeng Liang, Chunlei Cai, Cong Geng, Huiyu Duan, Xiaoyun Zhang, Qiang Hu, Guangtao Zhai",,Image_AgenticRetoucher2026
2D Visual Artifacts,Illustrative Graphics,Images,,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,CAMEO,CAMEO: A Conditional and Quality-Aware Multi-Agent Image Editing Orchestrator,https://arxiv.org/abs/2604.03156,"Yuhan Pu, Hao Zheng, Ziqian Mo, Zirui Pang, Hill Zhang, Tianyi Fan, Shuhong Wu, Jiaheng Wei",,Image_CAMEO2026
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,CanvasAgent,CanvasAgent: Enabling Complex Image Creation and Editing via Visual Tool Orchestration,https://arxiv.org/abs/2607.05465,"Hairui Zhu, Yiying Yang, Tengjin Weng, Ziyu Lu, Xiao Yao, Xiaoyang Ye, Lin Ma, Wenhao Jiang",,Image_CanvasAgent2026
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,benchmark,GraphicBench,GraphicBench: A Planning Benchmark for Graphic Design with Language Agents,https://arxiv.org/abs/2504.11571,"Dayeon Ki, Tianyi Zhou, Marine Carpuat, Gang Wu, Puneet Mathur, Viswanathan Swaminathan",,Image_GraphicBench2025
2D Visual Artifacts,Illustrative Graphics,Images,Brand Communication,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,MIMO,Mirror in the Model: Ad Banner Image Generation via Reflective Multi-LLM and Multi-modal Agents,https://arxiv.org/abs/2507.03326,"Zhao Wang, Bowen Chen, Yotaro Shimose, Sota Moriyama, Heng Wang, Shingo Takamatsu",,Image_MirrorAd2025
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,cvpr,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,,2025,published,system,SketchAgent,SketchAgent: Language-Driven Sequential Sketch Generation,https://doi.org/10.1109/CVPR52734.2025.02175,"Yael Vinker, Tamar Rott Shaham, Kristine Zheng, Alex Zhao, Judith E. Fan, Antonio Torralba",,Image_SketchAgent2025
2D Visual Artifacts,Illustrative Graphics,Images,Brand Communication,,emnlp,EMNLP,Conference on Empirical Methods in Natural Language Processing,conference,,2025,published,system,BannerAgency,BannerAgency: Advertising Banner Design with Multimodal LLM Agents,https://aclanthology.org/2025.emnlp-main.214/,"Heng Wang, Yotaro Shimose, Shingo Takamatsu",https://github.com/sony/BannerAgency,Marketing_BannerAgency2025
2D Visual Artifacts,Illustrative Graphics,Images,Creative Production,,iccv,ICCV,IEEE/CVF International Conference on Computer Vision,conference,,2025,published,system,T2I-Copilot,T2I-Copilot: A Training-Free Multi-Agent Text-to-Image System for Enhanced Prompt Interpretation and Interactive Generation,https://doi.org/10.1109/ICCV51701.2025.01803,"Chieh-Yun Chen, Min Shi, Gong Zhang, Humphrey Shi",https://github.com/SHI-Labs/T2I-Copilot,Image_T2ICopilot2025
2D Visual Artifacts,Visual Documents,Posters,Brand Communication,,aaai,AAAI,AAAI Conference on Artificial Intelligence,conference,,2026,published,system,AutoPP,AutoPP: Towards Automated Product Poster Generation and Optimization,https://doi.org/10.1609/aaai.v40i5.37377,"Jiahao Fan, Yuxin Qin, Wei Feng, Yanyin Chen, et al.",,Poster_AutoPP2026
2D Visual Artifacts,Visual Documents,Posters,Scientific Research,,acl,ACL,Annual Meeting of the Association for Computational Linguistics,conference,,2026,published,system,PosterForest,PosterForest: Hierarchical Multi-Agent Collaboration for Scientific Poster Generation,https://aclanthology.org/2026.acl-long.15/,"Jiho Choi, Seojeong Park, Seongjong Song, Hyunjung Shim",,Poster_PosterForest2025
2D Visual Artifacts,Visual Documents,Posters,Scientific Research,,iclr,ICLR,International Conference on Learning Representations,conference,,2026,published,benchmark,P2PEval,P2P: Automated Paper-to-Poster Generation and Fine-Grained Benchmark,https://openreview.net/pdf/9479107515b2f45e615a7b7d5c49fe69d678c264.pdf,"Tao Sun, Enhao Pan, Zhengkai Yang, Kaixin Sui, Jiajun Shi, Xianfu Cheng, Tongliang Li, Wenhao Huang, Ge Zhang, Jian Yang, Zhoujun Li",https://github.com/multimodal-art-projection/P2P,Poster_P2P2025
2D Visual Artifacts,Visual Documents,Posters,Scientific Research,,neurips,NeurIPS,Conference on Neural Information Processing Systems,conference,,2025,published,system,PosterAgent,Paper2Poster: Towards Multimodal Poster Automation from Scientific Papers,https://openreview.net/forum?id=p0E74lpRBD,"Wei Pang, Kevin Qinghong Lin, Xiangru Jian, Xi He, Philip Torr",https://github.com/Paper2Poster/Paper2Poster,Poster_Paper2Poster2025
2D Visual Artifacts,Visual Documents,Presentations,Scientific Research,,kdd,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,conference,,2026,published,benchmark,DECKBench,DECKBench: Benchmarking Multi-Agent Frameworks for Academic Slide Generation and Editing,https://doi.org/10.1145/3770855.3817525,"Daesik Jang, Morgan Lindsay Heisler, Linzi Xing, Yifei Li, Edward Wang, Ying Xiong, Yong Zhang, Zhenan Fan",,Slide_DECKBench2026
2D Visual Artifacts,Visual Documents,Presentations,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,ArcDeck,Narrative-Driven Paper-to-Slide Generation via ArcDeck,https://arxiv.org/abs/2604.11969,"Tarik Can Ozden, Sachidanand VS, Furkan Horoz, Ozgur Kara, Junho Kim, James Matthew Rehg",https://github.com/RehgLab/ArcDeck,Slide_ArcDeck2026
2D Visual Artifacts,Visual Documents,Presentations,,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,benchmark,SlidesGen-Bench,SlidesGen-Bench: Evaluating Slides Generation via Computational and Quantitative Metrics,https://arxiv.org/abs/2601.09487,"Yunqiao Yang, Wenbo Li, Houxing Ren, Zimu Lu, Ke Wang, Zhiyuan Huang, Zhuofan Zong, Mingjie Zhan, Hongsheng Li",https://github.com/YunqiaoYang/SlidesGen-Bench,Slide_SlidesGenBench2026
2D Visual Artifacts,Visual Documents,Presentations,Educational Support,,eaai,EAAI,AAAI Symposium on Educational Advances in Artificial Intelligence,track,aaai,2026,published,system,SlideBot,"SlideBot: A Multi-Agent Framework for Generating Informative, Reliable, Multi-Modal Presentations",https://doi.org/10.1609/aaai.v40i48.42124,"Eric Xie, Danielle Waterfield, Michael Kennedy, Aidong Zhang",,Slide_SlideBot2026
2D Visual Artifacts,Visual Documents,Presentations,Educational Support,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,Auto-Slides,Auto-Slides: An Interactive Multi-Agent System for Creating and Customizing Research Presentations,https://arxiv.org/abs/2509.11062,"Yuheng Yang, Wenjia Jiang, Yang Wang, Yi Song, Yiwei Wang, Chi Zhang",,Slide_AutoSlides2025
2D Visual Artifacts,Visual Documents,Presentations,,,emnlp,EMNLP,Conference on Empirical Methods in Natural Language Processing,conference,,2025,published,benchmark,PPTEval,PPTAgent: Generating and Evaluating Presentations Beyond Text-to-Slides,https://aclanthology.org/2025.emnlp-main.728/,"Hao Zheng, Xinyan Guan, Hao Kong, Wenkai Zhang, Jia Zheng, Weixiang Zhou, Hongyu Lin, Yaojie Lu, Xianpei Han, Le Sun",https://github.com/icip-cas/PPTAgent,Slide_PPTAgent2025
2D Visual Artifacts,Visual Documents,Presentations,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,SlideGen,SlideGen: Collaborative Multimodal Agents for Scientific Slide Generation,https://arxiv.org/abs/2512.04529,"Xin Liang, Xiang Zhang, Yiwei Xu, Siqi Sun, Chenyu You",,Slide_SlideGen2025
Audio Artifacts,Music,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,Libretto,Libretto: Giving LLM Agents a Sense of Musical Structure,https://arxiv.org/abs/2606.22708,Yichen Xu,https://github.com/Xyc-arch/Libretto,Music_Libretto2026
Audio Artifacts,Music,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,CoComposer,CoComposer: LLM Multi-agent Collaborative Music Composition,https://arxiv.org/abs/2509.00132,"Peiwen Xing, Aske Plaat, Niki van Stein",,Music_CoComposer2025
Audio Artifacts,Music,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,MusicSwarm,MusicSwarm: Biologically Inspired Intelligence for Music Composition,https://arxiv.org/abs/2509.11973,Markus J. Buehler,,Music_MusicSwarm2025
Audio Artifacts,Music,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,WeaveMuse,WeaveMuse: An Open Agentic System for Multimodal Music Understanding and Generation,https://arxiv.org/abs/2509.11183,Emmanouil Karystinaios,,Music_WeaveMuse2025
Audio Artifacts,,,Creative Production,,icassp,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,2026,published,system,N/A,Feedback-Driven Retrieval-Augmented Audio Generation with Large Audio Language Models,https://doi.org/10.1109/ICASSP55912.2026.11462219,"Junqi Zhao, Chenxing Li, Jinzheng Zhao, Rilin Chen, Dong Yu, Mark D. Plumbley, Wenwu Wang",,Audio_AudioRAGPlus2026
Audio Artifacts,,,Creative Production,,emnlp,EMNLP,Conference on Empirical Methods in Natural Language Processing,conference,,2025,published,system,LVAS-Agent,Orchestrating Audio: Multi-Agent Framework for Long-Video Audio Synthesis,https://aclanthology.org/2025.emnlp-main.1133/,"Yehang Zhang, Xinli Xu, Xiaojie Xu, Doudou Zhang, Li Liu, Ying-Cong Chen",https://github.com/ZYH-Lightyear/LVAS,Audio_LVASAgent2025
Audio Artifacts,,,Creative Production,,iclr_workshop,ICLR Workshop,International Conference on Learning Representations Workshop,workshop,iclr,2024,published,system,WavCraft,WavCraft: Audio Editing and Generation with Large Language Models,https://openreview.net/forum?id=xJw7x2ZBex,"Jinhua Liang, Huan Zhang, Haohe Liu, Yin Cao, Qiuqiang Kong, Xubo Liu, Wenwu Wang, Mark D. Plumbley, Huy Phan, Emmanouil Benetos",https://github.com/JinhuaLiang/WavCraft,Audio_WavCraft2024
Video Artifacts,Expository Videos,,Educational Support,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,LASEV,Beyond End-to-End Video Models: An LLM-Based Multi-Agent System for Educational Video Generation,https://arxiv.org/abs/2602.11790,"Lingyong Yan, Jiulong Wu, Dong Xie, Weixian Shi, Deguo Xia, Jizhou Huang",https://github.com/RobitsG/LASEV,Video_BeyondE2E2026
Video Artifacts,Expository Videos,,Educational Support,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,ManimAgent,ManimAgent: Self-Evolving Multimodal Agents for Visual Education,https://arxiv.org/abs/2606.30296,"Wenjia Jiang, Zongyuan Cai, Yuanhang Shao, Chenru Wang, Boyan Han, Zhixue Song, Keyu Chen, Shengwei An, Xu Yang, Zhou Yang",,Animation_ManimAgent2026
Video Artifacts,Expository Videos,,Educational Support,,icml,ICML,International Conference on Machine Learning,conference,,2026,published,system,Code2Video,Code2Video: A Code-centric Paradigm for Educational Video Creation,https://icml.cc/virtual/2026/poster/65050,"Yanzhe Chen, Kevin Qinghong Lin, Mike Zheng Shou",https://github.com/showlab/Code2Video,Video_Code2Video2025
Video Artifacts,Expository Videos,,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,PaperTalker,Paper2Video: Automatic Video Generation from Scientific Papers,https://arxiv.org/abs/2510.05096,"Zeyu Zhu, Kevin Qinghong Lin, Mike Zheng Shou",https://github.com/showlab/Paper2Video,Video_Paper2Video2025
Video Artifacts,Narrative Videos,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,GEST,Authoring for Living Worlds: Tool-Constrained LLM Agents for Executable Multi-Actor Scenarios,https://arxiv.org/abs/2604.10383,"Nicolae Cudlenco, Mihai Masala, Marius Leordeanu",,Video_EventGraphs2026
Video Artifacts,Narrative Videos,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,MUSE,MUSE: A Multi-agent Framework for Unconstrained Story Envisioning via Closed-Loop Cognitive Orchestration,https://arxiv.org/abs/2602.03028,"Wenzhang Sun, Zhenyu Wang, Zhangchi Hu, Chunfeng Wang, Hao Li, Wei Chen",,Video_MUSE2026
Video Artifacts,Narrative Videos,,Creative Production,,iclr,ICLR,International Conference on Learning Representations,conference,,2026,published,system,HAMLET,HAMLET: A Hierarchical and Adaptive Multi-Agent Framework for Live Embodied Theatrics,https://openreview.net/forum?id=MKwW04UHW1,"Shufan Jiang, Sizhou Chen, Chi Zhang, Xiao-Lei Zhang, Xuelong Li",https://github.com/Tsumugii24/HAMLET,Video_HAMLET2026
Video Artifacts,Narrative Videos,,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,OmniAgent,Hollywood Town: Long-Video Generation via Cross-Modal Multi-Agent Orchestration,https://arxiv.org/abs/2510.22431,"Zheng Wei, Mingchen Li, Zeqian Zhang, Ruibin Yuan, Pan Hui, Huamin Qu, James Evans, Maneesh Agrawala, Anyi Rao",,Video_LongVideo2025
Video Artifacts,Narrative Videos,,Creative Production,,aaai,AAAI,AAAI Conference on Artificial Intelligence,conference,,2026,published,system,GENMAC,GENMAC: Compositional Text-to-Video Generation with Multi-Agent Collaboration,https://doi.org/10.1609/aaai.v40i7.37418,"Kaiyi Huang, Yukun Huang, Xuefei Ning, Zinan Lin, Yu Wang, Xihui Liu",https://github.com/Karine-Huang/GenMAC,Video_GenMAC2024
